Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty za 2 suma,Celne rzuty za 2 śr.,Oddane rzuty za 2 suma,Oddane rzuty za 2 śr.,Skuteczność za 2
90,Alan Herndon,Enea Abramczyk Astoria Bydgoszcz ,7,10,1.4,19,2.7,52.6
91,David Brembly,Enea Zastal BC Zielona Góra ,7,10,1.4,15,2.1,66.7
92,Ivan Ramljak,WKS Śląsk Wrocław ,6,10,1.7,21,3.5,47.6
93,James Bell,Anwil Włocławek ,7,10,1.4,28,4,35.7
94,Andrzej Pluta,Enea Abramczyk Astoria Bydgoszcz ,7,9,1.3,16,2.3,56.3
95,Łukasz Koszarek,Legia Warszawa ,6,9,1.5,15,2.5,60
96,Matthew Williams,GTK Gliwice ,7,9,1.3,15,2.1,60
97,Michał Kołodziej,Twarde Pierniki Toruń ,7,9,1.3,22,3.1,40.9
98,Jake O'brien,PGE Spójnia Stargard ,7,9,1.3,21,3,42.9
99,Jacobi Boykins,PGE Spójnia Stargard ,6,9,1.5,20,3.3,45
100,Jakub Karolak,WKS Śląsk Wrocław ,7,8,1.1,16,2.3,50
101,Dominik Wilczek,Asseco Arka Gdynia ,6,8,1.3,17,2.8,47.1
102,Bartosz Diduszko,Twarde Pierniki Toruń ,7,8,1.1,19,2.7,42.1
103,Mateusz Szlachetka,Trefl Sopot ,7,8,1.1,23,3.3,34.8
104,Filip Zegzuła,HydroTruck Radom ,8,8,1,16,2,50
105,Roman Szymański,Polski Cukier Pszczółka Start Lublin ,7,8,1.1,19,2.7,42.1
106,Dominykas Domarkas,Enea Abramczyk Astoria Bydgoszcz ,7,7,1,18,2.6,38.9
107,Adam Brenk,MKS Dąbrowa Górnicza ,7,7,1,15,2.1,46.7
108,Filip Dylewicz,Asseco Arka Gdynia ,4,7,1.8,14,3.5,50
109,Raymond Cowels III,Legia Warszawa ,6,6,1,19,3.2,31.6
110,Nikola Mišković,Asseco Arka Gdynia ,4,6,1.5,20,5,30
111,Paweł Dzierżak,HydroTruck Radom ,8,6,0.8,16,2,37.5
112,Grzegorz Kulka,Legia Warszawa ,6,5,0.8,12,2,41.7
113,Lamonte Turner,Asseco Arka Gdynia ,3,3,1,16,5.3,18.8
