Lp.,Zawodnik,Drużyna,Mecze,Straty suma,Straty śr.
47,Markus Lončar,Enea Abramczyk Astoria Bydgoszcz ,6,11,1.83
48,Łukasz Koszarek,Legia Warszawa ,6,11,1.83
49,Jakub Musiał,Grupa Sierleccy Czarni Słupsk ,7,11,1.57
50,Kacper Borowski,King Szczecin ,7,11,1.57
51,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,11,1.57
52,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,11,1.83
53,Kodi Justice,WKS Śląsk Wrocław ,8,11,1.38
54,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,11,1.57
55,Adam Ramstedt,GTK Gliwice ,7,11,1.57
56,Trevor Thompson ,Twarde Pierniki Toruń ,7,11,1.57
57,Michał Chyliński,Enea Abramczyk Astoria Bydgoszcz ,6,10,1.67
58,Kacper Młynarski,PGE Spójnia Stargard ,7,10,1.43
59,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,10,1.43
60,Keyshawn Woods,GTK Gliwice ,5,10,2
61,Karol Gruszecki,Trefl Sopot ,7,10,1.43
62,Jakub Nizioł,Enea Abramczyk Astoria Bydgoszcz ,7,10,1.43
63,Kerem Kanter,WKS Śląsk Wrocław ,8,10,1.25
64,Filip Put,GTK Gliwice ,7,9,1.29
65,Michał Nowakowski,MKS Dąbrowa Górnicza ,7,9,1.29
66,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,9,1.29
67,Michael Moore,HydroTruck Radom ,8,9,1.13
68,Adam Brenk,MKS Dąbrowa Górnicza ,7,9,1.29
69,Paweł Dzierżak,HydroTruck Radom ,8,9,1.13
70,Quenton De Cosey,Polski Cukier Pszczółka Start Lublin ,7,9,1.29
71,Nikola Mišković,Asseco Arka Gdynia ,4,9,2.25
72,Paweł Leończyk,Trefl Sopot ,7,9,1.29
73,Aleksander Wiśniewski,GTK Gliwice ,7,9,1.29
74,Alan Herndon,Enea Abramczyk Astoria Bydgoszcz ,7,9,1.29
75,Brandon Young,Trefl Sopot ,4,9,2.25
76,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,9,1.29
77,Josip Sobin,MKS Dąbrowa Górnicza ,7,9,1.29
78,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,9,1.5
79,Justin Gray,PGE Spójnia Stargard ,7,9,1.29
